plant,DAS_leaf6,DAS_leaf6_rounded
10,25.238948626045403,25
11,26.122823098075155,26
12,23.962035225048925,24
13,25.07790876473604,25
14,24.20833333333333,24
15,24.081616481774947,24
16,25.120656370656366,25
17,23.446115288220554,23
18,24.0735294117647,24
19,24.647764449291166,25
1blanc,19.088495575221238,19
1bleu,24.899280575539553,25
1rouge,23.666666666666668,24
20,25.1956241956242,25
21,26.34859813084112,26
22,24.429000751314785,24
23,24.700934579439252,25
24,24.401345291479817,24
25,24.647764449291166,25
26,25.67681007345226,26
27,24.12285714285714,24
28,24.653235653235658,25
29,26.43288409703504,26
2blanc,25.15384615384615,25
2bleu,25.354344122657565,25
2rouge,25.033333333333335,25
30,25.316728624535305,25
31,24.399730820995952,24
32,26.000000000000004,26
33,25.180124223602483,25
34,25.180124223602483,25
35,26.03213049925852,26
36,26.43288409703504,26
37,24.70238095238095,25
38,24.125000000000004,24
39,24.494011976047908,24
3blanc,24.555555555555543,25
3bleu,24.600000000000012,25
3rouge,25.175953079178882,25
40,23.95616438356164,24
41,24.647764449291166,25
42,23.886363636363637,24
43,23.68468468468468,24
44,23.886363636363637,24
45,23.81249999999999,24
46,24.57933194154488,25
47,24.17438692098092,24
48,23.789137380191693,24
49,24.647764449291166,25
4blanc,24.400000000000002,24
4bleu,26.026086956521738,26
4rouge,25.262626262626252,25
50,24.509677419354844,25
51,26.34859813084112,26
52,25.67681007345226,26
53,26.03213049925852,26
54,25.02115987460814,25
55,25.59214743589743,26
56,24.700934579439252,25
57,25.308014667365107,25
58,23.846047156726772,24
59,23.846047156726772,24
5blanc,21.999999999999996,22
5bleu,25.111111111111118,25
5rouge,24.586040914560765,25
60,22.86237712243074,23
61,25.238948626045403,25
62,24.692018072289144,25
63,24.879551820728295,25
64,24.10896130346231,24
65,23.76353276353277,24
66,24.857501254390364,25
67,22.964251207729475,23
68,24.25357142857143,24
69,23.013506212857923,23
6bleu,25.111111111111118,25
6rouge,24.54887218045112,25
70,23.91578947368421,24
71,24.238673139158568,24
72,25.210814760686876,25
73,26.03213049925852,26
74,25.180124223602483,25
75,25.29489533602643,25
76,25.316728624535305,25
77,25.51225490196079,26
78,25.308014667365107,25
79,26.74941451990632,27
7blanc,25.094420600858356,25
7bleu,24.56073211314476,25
7rouge,24,24
80,24.792194092826996,25
81,26.03213049925852,26
82,25.308014667365107,25
83,26.47705627705628,26
84,25.25303454715219,25
85,24.84552845528456,25
86,26.464841906559695,26
87,24.52631578947368,25
88,23.94134897360703,24
89,24.12285714285714,24
8blanc,25.094420600858356,25
8bleu,25.175953079178882,25
8rouge,24.400000000000002,24
9,26.03213049925852,26
