Pot;FLN;distance.ligule;date
10;8;1,2;28/03/2021
10;8;5;29/03/2021
10;8;7,5;30/03/2021
10;8;9;31/03/2021
10;8;11,5;01/04/2021
10;8;12,5;02/04/2021
10;8;18;19/04/2021
12;8;0;26/03/2021
12;8;3;27/03/2021
12;8;4,5;28/03/2021
12;8;6,5;29/03/2021
12;8;8;30/03/2021
12;8;10;31/03/2021
12;8;16;19/04/2021
15;8;2,5;29/03/2021
15;8;5;30/03/2021
15;8;7;31/03/2021
15;8;9;01/04/2021
15;8;10,5;02/04/2021
15;8;12;03/04/2021
15;8;14;19/04/2021
18;8;2,4;26/03/2021
18;8;5,5;27/03/2021
18;8;7;28/03/2021
18;8;9;29/03/2021
18;8;12;30/03/2021
18;8;13,5;31/03/2021
18;8;19;19/04/2021
20;8;0;28/03/2021
20;8;4;29/03/2021
20;8;6;30/03/2021
20;8;7,5;31/03/2021
20;8;9;01/04/2021
20;8;10,5;02/04/2021
20;8;17;19/04/2021
23;7;1;24/03/2021
23;7;4;25/03/2021
23;7;5,5;26/03/2021
23;7;8;27/03/2021
23;7;9;28/03/2021
23;7;10;29/03/2021
23;7;13;19/04/2021
26;7;0,8;26/03/2021
26;7;5,5;27/03/2021
26;7;8,5;28/03/2021
26;7;11;29/03/2021
26;7;12,5;30/03/2021
26;7;14;31/03/2021
26;7;15;19/04/2021
28;8;1,2;27/03/2021
28;8;4,5;28/03/2021
28;8;7;29/03/2021
28;8;9;30/03/2021
28;8;11;31/03/2021
28;8;13;01/04/2021
28;8;17;19/04/2021
31;8;1,5;26/03/2021
31;8;4,5;27/03/2021
31;8;7;28/03/2021
31;8;9;29/03/2021
31;8;11;30/03/2021
31;8;13;31/03/2021
31;8;17;19/04/2021
34;7;0;24/03/2021
34;7;1;25/03/2021
34;7;4;26/03/2021
34;7;6;27/03/2021
34;7;8;28/03/2021
34;7;9,5;29/03/2021
34;7;13;19/04/2021
36;7;0,5;25/03/2021
36;7;4;26/03/2021
36;7;6,5;27/03/2021
36;7;8;28/03/2021
36;7;9,5;29/03/2021
36;7;10,5;30/03/2021
36;7;14;19/04/2021
39;7;0;24/03/2021
39;7;4;25/03/2021
39;7;5,5;26/03/2021
39;7;7,5;27/03/2021
39;7;9,5;28/03/2021
39;7;10,5;29/03/2021
39;7;14;19/04/2021
42;7;3;23/03/2021
44;7;0;23/03/2021
44;7;3;24/03/2021
44;7;6;25/03/2021
44;7;8;26/03/2021
44;7;10;27/03/2021
44;7;12;28/03/2021
44;7;13;19/04/2021
47;7;3;23/03/2021
50;7;1,5;24/03/2021
50;7;5;25/03/2021
50;7;7,5;26/03/2021
50;7;10;27/03/2021
50;7;11,5;28/03/2021
50;7;13;29/03/2021
50;7;15;19/04/2021
52;7;0;25/03/2021
52;7;2;26/03/2021
52;7;4,5;27/03/2021
52;7;6,5;28/03/2021
52;7;8;29/03/2021
52;7;9,5;30/03/2021
52;7;12;19/04/2021
58;8;0;27/03/2021
58;8;4;28/03/2021
58;8;5,5;29/03/2021
58;8;8;30/03/2021
58;8;10,5;31/03/2021
58;8;11,5;01/04/2021
58;8;19;19/04/2021
60;8;1;26/03/2021
60;8;4,5;27/03/2021
60;8;5,5;28/03/2021
60;8;7,5;29/03/2021
60;8;10;30/03/2021
60;8;11,5;31/03/2021
60;8;16;19/04/2021
63;8;0,8;27/03/2021
63;8;3,5;28/03/2021
63;8;5,5;29/03/2021
63;8;7,5;30/03/2021
63;8;9,5;31/03/2021
63;8;11,5;01/04/2021
63;8;18;19/04/2021
66;7;3;25/03/2021
66;7;5,5;26/03/2021
66;7;8;27/03/2021
66;7;10;28/03/2021
66;7;12;29/03/2021
66;7;13;30/03/2021
66;7;14;19/04/2021
68;7;1;24/03/2021
68;7;4,5;25/03/2021
68;7;7;26/03/2021
68;7;9,5;27/03/2021
68;7;10;28/03/2021
68;7;11,5;29/03/2021
68;7;13;19/04/2021
71;8;2;27/03/2021
71;8;4,5;28/03/2021
71;8;6,5;29/03/2021
71;8;9;30/03/2021
71;8;10,5;31/03/2021
71;8;13;01/04/2021
71;8;17;19/04/2021
73;7;0;25/03/2021
73;7;3;26/03/2021
73;7;6,5;27/03/2021
74;7;0;24/03/2021
74;7;4;25/03/2021
74;7;5,5;26/03/2021
76;8;1;27/03/2021
76;8;4,5;28/03/2021
76;8;7;29/03/2021
77;8;1;29/03/2021
77;8;5,5;30/03/2021
77;8;7;31/03/2021
78;7;1;25/03/2021
78;7;4;26/03/2021
78;7;6,5;27/03/2021
80;7;1;24/03/2021
80;7;4;25/03/2021
80;7;5,5;26/03/2021
81;7;0;25/03/2021
81;7;1;26/03/2021
81;7;4,5;27/03/2021
82;7;2;25/03/2021
82;7;5;26/03/2021
82;7;8;27/03/2021
85;8;2;30/03/2021
85;8;5,5;31/03/2021
85;8;7;01/04/2021
86;8;2;30/03/2021
86;8;5;31/03/2021
86;8;7,5;01/04/2021
88;8;2,5;28/03/2021
88;8;5,5;29/03/2021
88;8;8;30/03/2021
